name,team,bib_number,height,weight,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills,year_edition,age,bmi
MARTIN Guillaume,Groupama - FDJ (WT),107.0,1.73,55.0,2570,3896,10,81,4014,1760,2025,32,18.376825152861773
MADOUAS Valentin,Groupama - FDJ (WT),107.0,1.79,71.0,3266,1207,93,190,1640,1784,2025,29,22.15910864205237
GRÉGOIRE Romain,Groupama - FDJ (WT),107.0,1.76,64.0,1103,718,270,41,928,1126,2025,22,20.66115702479339
PACHER Quentin,Groupama - FDJ (WT),107.0,1.79,62.0,876,1051,122,84,1034,1540,2025,33,19.350207546580943
CASTRILLO Pablo,Movistar Team (WT),107.0,1.83,74.0,63,506,197,0,544,188,2025,24,22.096807907073963
MAS Enric,Movistar Team (WT),107.0,1.77,61.0,993,4995,666,19,5690,1364,2025,30,19.4707778735357
OLIVEIRA Nelson,Movistar Team (WT),107.0,1.8,67.0,624,1209,3816,24,546,884,2025,36,20.679012345679013
RUBIO Einer,Movistar Team (WT),107.0,1.64,56.0,199,1533,61,8,1634,356,2025,27,20.820939916716245
GAVIRIA Fernando,Movistar Team (WT),107.0,1.81,71.0,1866,211,85,4640,116,1848,2025,31,21.672110130948383
ROMEO Iván,Movistar Team (WT),107.0,1.93,75.0,146,311,384,55,204,156,2025,22,20.13476871862332
ROMO Javier,Movistar Team (WT),107.0,1.84,70.0,228,636,54,14,343,309,2025,26,20.6758034026465
ONLEY Oscar,Team Picnic PostNL (WT),107.0,1.73,62.0,225,1371,127,5,1048,826,2025,23,20.715693808680545
VAN DEN BROEK Frank,Team Picnic PostNL (WT),107.0,1.78,70.0,120,392,54,26,270,222,2025,25,22.093170054286073
ANDRESEN Tobias Lund,Team Picnic PostNL (WT),107.0,1.81,69.0,429,290,8,727,118,658,2025,23,21.06162815542871
O'CONNOR Ben,Team Jayco AlUla (WT),107.0,1.88,67.0,751,3432,596,40,3070,942,2025,30,18.956541421457676
DUNBAR Eddie,Team Jayco AlUla (WT),107.0,1.7,57.0,342,1469,298,24,1054,515,2025,29,19.723183391003463
SCHMID Mauro,Team Jayco AlUla (WT),107.0,1.87,70.0,658,906,584,6,929,922,2025,26,20.0177299894192
GROENEWEGEN Dylan,Team Jayco AlUla (WT),107.0,1.77,70.0,4065,385,15,8072,38,1031,2025,32,22.34351559258195
MEZGEC Luka,Team Jayco AlUla (WT),107.0,1.83,72.0,1611,640,33,1195,238,2216,2025,37,21.49959688255845
REINDERS Elmar,Team Jayco AlUla (WT),107.0,1.9,78.1,519,171,131,682,22,74,2025,33,21.634349030470915
JUUL-JENSEN Christopher,Team Jayco AlUla (WT),107.0,1.83,73.0,697,1137,357,2,154,218,2025,36,21.798202394816204
MARTINEZ Lenny,Bahrain - Victorious (WT),107.0,1.68,52.0,866,966,217,4,1337,378,2025,22,18.42403628117914
BUITRAGO Santiago,Bahrain - Victorious (WT),107.0,1.74,59.0,514,1648,202,43,1835,674,2025,26,19.487382745408905
MOHORIČ Matej,Bahrain - Victorious (WT),107.0,1.86,71.0,2986,2331,352,696,1610,2820,2025,31,20.522603769221874
BAUHAUS Phil,Bahrain - Victorious (WT),107.0,1.84,75.0,924,266,1,2216,0,1687,2025,31,22.152646502835537
VELASCO Simone,XDS Astana Team (WT),107.0,1.7,59.0,1852,509,55,45,934,1364,2025,30,20.41522491349481
TEJADA Harold,XDS Astana Team (WT),107.0,1.8,63.0,96,760,318,8,658,662,2025,28,19.444444444444443
CHAMPOUSSIN Clément,XDS Astana Team (WT),107.0,1.8,61.0,1155,764,71,32,1512,1038,2025,27,18.827160493827158
DE LIE Arnaud,Lotto (PRT),107.0,1.82,78.0,3819,276,1,1592,119,1472,2025,23,23.54788069073783
VAN EETVELT Lennert,Lotto (PRT),107.0,1.76,63.0,583,994,103,12,1112,457,2025,24,20.33832644628099
DE BUYST Jasper,Lotto (PRT),107.0,1.79,72.0,1683,675,128,902,160,885,2025,32,22.47120876377142
BERCKMOES Jenno,Lotto (PRT),107.0,1.77,61.0,429,383,58,122,110,352,2025,24,19.4707778735357
ACKERMANN Pascal,Israel - Premier Tech (PRT),107.0,1.8,78.0,3606,355,68,3524,126,1925,2025,31,24.074074074074073
BLACKMORE Joseph,Israel - Premier Tech (PRT),107.0,1.81,66.0,252,434,75,20,270,386,2025,22,20.1459051921492
