year_edition,name,rider_url,team,team_url,bib_number,nationality,birthdate,place_of_birth,height,weight,current_pcs_rank,current_uci_world_rank,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills
2014,IGLINSKIY Maxim,maxim-iglinskiy,Astana Pro Team (WT),team/astana-pro-team-2014,45,KZ,1981-4-18,Tselinograd,1.71,67.0,,,1730,867,203,21,600,596
2014,KANGERT Tanel,tanel-kangert,Astana Pro Team (WT),team/astana-pro-team-2014,46,EE,1987-3-11,Vändra,1.78,65.0,,,792,2357,1490,10,1679,609
2014,SCARPONI Michele,michele-scarponi,Astana Pro Team (WT),team/astana-pro-team-2014,47,IT,1979-9-25,Jesi,1.74,62.0,,,1579,4968,1302,64,4568,1392
2014,VANOTTI Alessandro,alessandro-vanotti,Astana Pro Team (WT),team/astana-pro-team-2014,48,IT,1980-9-16,Bergamo,1.85,70.0,,,139,516,47,20,113,173
2014,WESTRA Lieuwe,lieuwe-westra,Astana Pro Team (WT),team/astana-pro-team-2014,49,NL,1982-9-11,Mûnein,1.85,74.0,,,384,1597,2720,45,352,431
2014,SAGAN Peter,peter-sagan,Cannondale  (WT),team/cannondale-2014,51,SK,1990-1-26,Žilina,1.82,78.0,,,9426,1797,1335,5996,2578,8566
2014,BODNAR Maciej,maciej-bodnar,Cannondale  (WT),team/cannondale-2014,52,PL,1985-3-7,Oława,1.86,77.0,,,303,883,3562,86,18,138
2014,DE MARCHI Alessandro,alessandro-de-marchi,Cannondale  (WT),team/cannondale-2014,53,IT,1986-5-19,San Daniele del Friuli,1.81,65.0,,,1059,646,519,0,1506,836
2014,KING Edward,edward-king,Cannondale  (WT),team/cannondale-2014,54,US,1983-1-31,Exeter,1.89,78.0,,,124,75,9,0,2,8
2014,KOREN Kristijan,kristijan-koren,Cannondale  (WT),team/cannondale-2014,55,SI,1986-11-25,Postojna,1.83,72.0,,,704,522,578,12,205,174
2014,MARCATO Marco,marco-marcato,Cannondale  (WT),team/cannondale-2014,56,IT,1984-2-11,San Donà di Piave,1.74,67.0,,,3321,1701,156,84,428,785
2014,MARINO Jean-Marc,jean-marc-marino,Cannondale  (WT),team/cannondale-2014,57,FR,1983-8-15,Castres,1.77,65.0,,,200,355,0,2,40,54
2014,SABATINI Fabio,fabio-sabatini,Cannondale  (WT),team/cannondale-2014,58,IT,1985-2-18,Pescia,1.87,74.0,,,506,578,87,284,61,285
2014,VIVIANI Elia,elia-viviani,Cannondale  (WT),team/cannondale-2014,59,IT,1989-2-7, Isola della Scala,1.78,67.0,,,5100,993,160,7758,276,2721
2014,MOLLEMA Bauke,bauke-mollema,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,61,NL,1986-11-26,Groningen,1.84,64.0,,,5218,6013,2080,179,7443,4110
2014,BOOM Lars,lars-boom,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,62,NL,1985-12-30,Vlijmen,1.91,75.0,,,1484,2101,2981,485,145,585
2014,CLEMENT Stef,stef-clement,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,63,NL,1982-9-24,Tilburg,1.81,66.0,,,106,1252,3248,32,572,414
2014,KRUIJSWIJK Steven,steven-kruijswijk,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,64,NL,1987-6-7,Nuenen,1.78,63.0,,,344,4479,1440,16,3983,1318
2014,LEEZER Tom,tom-leezer,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,65,NL,1985-12-26,Delft,1.85,76.0,,,776,610,101,20,19,10
2014,TANKINK Bram,bram-tankink,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,66,NL,1978-12-3,Haaksbergen,1.81,71.0,,,1143,1186,308,18,130,344
2014,TEN DAM Laurens,laurens-ten-dam,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,67,NL,1980-11-13,Zuidwolde,1.84,67.0,,,430,2641,389,20,1043,168
2014,VANMARCKE Sep,sep-vanmarcke,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,68,BE,1988-7-28,Kortrijk,1.9,77.0,,,4870,782,267,970,380,1748
2014,WYNANTS Maarten,maarten-wynants,Belkin-Pro Cycling Team (WT),team/belkin-pro-cycling-team-2014,69,BE,1982-5-13,Hasselt,1.9,74.0,,,1352,596,127,120,32,88
2014,CAVENDISH Mark,mark-cavendish,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,71,GB,1985-5-21,Douglas,1.75,70.0,,,3067,1502,712,6826,79,2065
2014,BAKELANTS Jan,jan-bakelants,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,72,BE,1986-2-14, Oudenaarde,1.77,67.0,,,1991,2656,314,100,1758,1818
2014,GOŁAŚ Michał,michal-golas,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,73,PL,1984-4-29,Toruń,1.8,65.0,,,888,625,68,6,172,206
2014,KWIATKOWSKI Michał,michal-kwiatkowski,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,74,PL,1990-6-2,Chełmża,1.76,68.0,,,4717,3670,3561,281,3312,3584
2014,MARTIN Tony,tony-martin,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,75,DE,1985-4-23,Cottbus,1.85,75.0,,,408,3738,10664,165,829,1670
2014,PETACCHI Alessandro,alessandro-petacchi,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,76,IT,1974-1-3,La Spezia,1.85,70.0,,,3265,1323,334,4716,508,2990
2014,RENSHAW Mark,mark-renshaw,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,77,AU,1982-10-22, Bathurst,1.79,74.0,,,1363,555,301,896,14,155
2014,TERPSTRA Niki,niki-terpstra,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,78,NL,1984-5-18,Beverwijk,1.9,75.0,,,4666,2405,1739,792,193,1126
2014,TRENTIN Matteo,matteo-trentin,Omega Pharma - Quick-Step (WT),team/omega-pharma-quick-step-2014,79,IT,1989-8-2,Borgo Valsugana,1.79,74.0,86.0,100.0,5446,1019,334,1994,1014,4131
2014,PERAUD Jean-Christophe,jean-christophe-peraud,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,81,FR,1977-5-22,Toulouse,1.72,62.0,,,159,3073,1651,0,1654,549
2014,BARDET Romain,romain-bardet,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,82,FR,1990-11-9, Brioude,1.85,65.0,,93.0,3401,6495,401,366,8511,2067
2014,CHEREL Mikaël,mikael-cherel,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,83,FR,1986-3-17,Saint-Hilaire-du-Harcouët,1.83,65.0,,,654,1318,0,24,597,486
2014,DUMOULIN Samuel,samuel-dumoulin,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,84,FR,1980-8-20, Vénissieux,1.59,57.0,,,3742,1279,91,807,272,1494
2014,GASTAUER Ben,ben-gastauer,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,85,LU,1987-11-14,Dudelange,1.9,73.0,,,282,763,142,5,223,54
2014,KADRI Blel,blel-kadri,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,86,FR,1986-9-3,Bordeaux,1.76,66.0,,,242,722,152,384,254,90
2014,MINARD Sébastien,sebastien-minard,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,87,FR,1982-6-12,Senlis,1.77,65.0,,,718,609,81,20,233,220
2014,MONTAGUTI Matteo,matteo-montaguti,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,88,IT,1984-1-6, Forlì,1.81,65.0,,,770,556,181,62,646,530
2014,RIBLON Christophe,christophe-riblon,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2014,89,FR,1981-1-17,Tremblay-en-France,1.8,65.0,,,394,1376,669,354,753,486
2014,TALANSKY Andrew,andrew-talansky,Garmin Sharp (WT),team/garmin-sharp-2014,91,US,1988-11-23,New York,1.75,63.0,,,59,2636,1650,5,1759,930
2014,ACEVEDO Janier,janier-alexis-acevedo,Garmin Sharp (WT),team/garmin-sharp-2014,92,CO,1985-12-6,Medellin,1.75,63.0,,,91,582,212,6,304,166
2014,BAUER Jack,jack-bauer,Garmin Sharp (WT),team/garmin-sharp-2014,93,NZ,1985-4-7,Takaka,1.91,74.0,,,702,775,773,60,120,206
2014,HOWES Alex,alex-howes,Garmin Sharp (WT),team/garmin-sharp-2014,94,US,1988-1-1,Denver,1.8,61.0,,,409,482,12,66,119,200
2014,KING Ben,benjamin-king-1,Garmin Sharp (WT),team/garmin-sharp-2014,95,US,1989-3-22,Richmond,1.83,68.0,,,245,437,368,5,458,264
2014,LANGEVELD Sebastian,sebastian-langeveld,Garmin Sharp (WT),team/garmin-sharp-2014,96,NL,1985-1-17,Leiden,1.78,67.0,,,2265,1255,1114,163,88,488
2014,NAVARDAUSKAS Ramūnas,ramunas-navardauskas,Garmin Sharp (WT),team/garmin-sharp-2014,97,LT,1988-1-30,Šilalė,1.9,79.0,,,1113,1025,1203,368,304,1050
2014,SLAGTER Tom-Jelte,tom-jelte-slagter,Garmin Sharp (WT),team/garmin-sharp-2014,98,NL,1989-7-1,Groningen,1.69,57.0,,,1496,1293,223,12,1284,896
2014,VANSUMMEREN Johan,johan-vansummeren,Garmin Sharp (WT),team/garmin-sharp-2014,99,BE,1981-2-4,Lommel,1.97,79.0,,,1143,1069,398,206,123,112
2014,KITTEL Marcel,marcel-kittel,Team Giant - Shimano (WT),team/team-giant-shimano-2014,101,DE,1988-5-11,Arnstadt,1.88,82.0,,,1908,820,833,2994,1,231
2014,CURVERS Roy,roy-curvers,Team Giant - Shimano (WT),team/team-giant-shimano-2014,102,NL,1979-12-27,Haelen,1.88,73.0,,,1253,361,0,20,32,54
2014,DE KORT Koen,koen-de-kort,Team Giant - Shimano (WT),team/team-giant-shimano-2014,103,NL,1982-9-8,Gouda,1.79,69.0,,,708,1002,403,156,186,308
2014,DEGENKOLB John,john-degenkolb,Team Giant - Shimano (WT),team/team-giant-shimano-2014,104,DE,1989-1-7,Gera,1.8,82.0,,,6464,1231,297,3248,315,3315
2014,DEVENYNS Dries,dries-devenyns,Team Giant - Shimano (WT),team/team-giant-shimano-2014,105,BE,1983-7-22,Leuven,1.77,65.0,,,1594,1907,796,85,890,1106
2014,DUMOULIN Tom,tom-dumoulin,Team Giant - Shimano (WT),team/team-giant-shimano-2014,106,NL,1990-11-11,Maastricht,1.85,69.0,,,1147,4404,6256,100,3163,2211
2014,JI Cheng,cheng-ji,Team Giant - Shimano (WT),team/team-giant-shimano-2014,107,CN,1987-7-15,Harbin,1.78,67.0,,,5,118,0,0,0,0
2014,TIMMER Albert,albert-timmer,Team Giant - Shimano (WT),team/team-giant-shimano-2014,108,NL,1985-6-13,Gramsbergen,1.86,77.0,,,165,472,134,33,62,4
2014,VEELERS Tom,tom-veelers,Team Giant - Shimano (WT),team/team-giant-shimano-2014,109,NL,1984-9-14,Ootmarsum,1.84,75.0,,,1135,500,258,208,4,0
2014,COSTA Rui,rui-costa,Lampre - Merida (WT),team/lampre-merida-2014,111,PT,1986-10-5,Póvoa de Varzim,1.82,69.0,,,4401,6234,1621,97,5354,2698
2014,CIMOLAI Davide,davide-cimolai,Lampre - Merida (WT),team/lampre-merida-2014,112,IT,1989-8-13,Pordenone,1.81,70.0,,,1187,605,6,1023,141,1472
2014,ĐURASEK Kristijan,kristijan-durasek,Lampre - Merida (WT),team/lampre-merida-2014,113,HR,1987-7-26,Varaždin,1.7,56.0,,,527,585,103,0,482,66
2014,HORNER Chris,chris-horner,Lampre - Merida (WT),team/lampre-merida-2014,114,US,1971-10-23,Okinawa,1.8,70.0,,,1585,4145,1095,30,2108,572
2014,MODOLO Sacha,sacha-modolo,Lampre - Merida (WT),team/lampre-merida-2014,115,IT,1987-6-19,Conegliano,1.8,67.0,,,1809,535,19,1280,221,1454
2014,OLIVEIRA Nelson,nelson-oliveira,Lampre - Merida (WT),team/lampre-merida-2014,116,PT,1989-3-6,Anadia,1.8,67.0,,,624,1209,3816,24,546,884
2014,RICHEZE Maximiliano,ariel-maximiliano-richeze,Lampre - Merida (WT),team/lampre-merida-2014,117,AR,1983-3-7,Bella Vista,1.77,68.0,,,1291,543,151,1017,275,1362
2014,SERPA José Rodolfo,jose-rodolfo-serpa,Lampre - Merida (WT),team/lampre-merida-2014,118,CO,1979-4-17,Corozal,1.78,64.0,,,559,1794,691,2,788,186
2014,VALLS Rafael,rafael-valls,Lampre - Merida (WT),team/lampre-merida-2014,119,ES,1987-6-25,Cocentaina,1.79,64.0,,,295,1209,78,6,666,324
2014,DÉMARE Arnaud,arnaud-demare,FDJ.fr  (WT),team/fdj.fr-2014,121,FR,1991-8-26,Beauvais,1.81,76.0,,,6782,1536,483,8072,206,2572
2014,BONNET William,william-bonnet,FDJ.fr  (WT),team/fdj.fr-2014,122,FR,1982-6-25,Saint-Doulchard,1.85,80.0,,,1018,469,448,341,42,350
